,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
123,Perfect,"Ed Sheeran",941451,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
124,"Esquema Preferido","DJ Ivis",939381,https://open.spotify.com/track/27X3qzgB0Show6qfw5wNOK
125,"HIGHEST IN THE ROOM","Travis Scott",934332,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
126,PROBLEMA,"Daddy Yankee",933531,https://open.spotify.com/track/2dl5K2ScW7jYhAhuem06cm
127,Dior,"Pop Smoke",929737,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
128,"Daddy Issues","The Neighbourhood",925412,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
129,HOLIDAY,"Lil Nas X",925265,https://open.spotify.com/track/6zFMeegAMYQo0mt8rXtrli
130,"In Your Eyes","The Weeknd",924022,https://open.spotify.com/track/7szuecWAPwGoV1e5vGu8tl
131,Polvo,"Nicky Jam",922978,https://open.spotify.com/track/68mrW6gXHgupgSiDHgaDi5
132,"Facas - Ao Vivo","Diego & Victor Hugo",922088,https://open.spotify.com/track/1ere9b9vDw2N3m9d4uiXxa
133,"Ele É Ele, Eu Sou Eu","Wesley Safadão",917725,https://open.spotify.com/track/7EWXP47VlXKO3r7mNxuWHw
134,"Jocelyn Flores",XXXTENTACION,915619,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
135,Robbery,"Juice WRLD",913798,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
136,"Dreams - 2004 Remaster","Fleetwood Mac",912824,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
137,"Bohemian Rhapsody - Remastered 2011",Queen,910822,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
138,Hayloft,"Mother Mother",899218,https://open.spotify.com/track/2kS6td1yvmpNgZTt1q5pQq
139,"Martin & Gina","Polo G",898735,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
140,"Come & Go (with Marshmello)","Juice WRLD",892804,https://open.spotify.com/track/2Y0wPrPQBrGhoLn14xRYCG
141,"Somebody That I Used To Know",Gotye,891852,https://open.spotify.com/track/1qDrWA6lyx8cLECdZE7TV7
142,"L-Gante: Bzrp Music Sessions, Vol.38",Bizarrap,889620,https://open.spotify.com/track/1Crj1zkRMpsEjb9NOR6Zof
143,"Ride It",Regard,887502,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
144,"Musica leggerissima",Colapesce,885183,https://open.spotify.com/track/5vYXOk1umkpp7JhXZm6rDI
145,Falling,"Trevor Daniel",883235,https://open.spotify.com/track/2rRJrJEo19S2J82BDsQ3F7
146,"Travesuras - Remix","Nio Garcia",880629,https://open.spotify.com/track/0VWLId2RwPCno9s1cJm2Vy
147,"All of Me","John Legend",880010,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
148,"Do I Wanna Know?","Arctic Monkeys",879865,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
149,"Train Wreck","James Arthur",879233,https://open.spotify.com/track/55Am8neGJkdj2ADaM3aw5H
150,"Vida de Rico",Camilo,876207,https://open.spotify.com/track/4nTduFjaTmGysc9WKNuCcs
151,"Feels (feat. Khalid)",WATTS,873126,https://open.spotify.com/track/6LZ9FO9UsGIcTKbShnfNsG
